index,Country,Area,Location,LAT,LONG,methode
204,AUSTRALIA,Western Australia,"South Point, Gracetown",-25.2303005,121.0187246,countryarea
205,USA,Hawaii,"Hultin's Beach, Oahu",19.593801499999998,-155.42837009716908,countryarea
206,USA,California,"Drakes Estero, Point Reyes, Marin County",36.7014631,-118.755997,countryarea
207,MALAYSIA,Sepang,Bagan Lalang Beach,2.60595875,101.69023525873696,locatie
208,BAHAMAS,,,alleen land bekend,alleen land bekend,error
209,COSTA RICA,Cocos Island,Manuelita,-46.6087287,-68.1931292,locatie
210,COSTA RICA,Cocos Island,Manuelita,-46.6087287,-68.1931292,locatie
211,LIBYA,,Gars Garabulli,error,error,error
212,USA,California,"Stillwater Cove, Monterey County",36.5648881,-121.9416932,locatie
213,USA,Florida,"Floridana Beach, Brevard County",27.9462734,-80.4970188,locatie
214,,,,geen locatie bekend,geen locatie bekend,error
215,AUSTRALIA,New South Wales,Avoca Beach,-33.465,151.4344444,locatie
216,CUBA,Holquin Province,Guardalavaca Beach,21.1259384,-75.8291174,locatie
217,USA,Hawaii,Makaha,21.4665875,-158.21607146723647,locatie
218,AUSTRALIA,Queensland,Magnetic Island,-19.1421421,146.83354856403196,locatie
219,AUSTRALIA,New South Wales,Birubi Point,-32.786596599999996,152.08121011636692,locatie
220,USA,Hawaii,"White Plains Beach, Oahu",19.593801499999998,-155.42837009716908,countryarea
221,MAURITIUS,Pamplemousses,Le Goulet,47.7053428,-64.7155661,locatie
222,USA,Florida,"Juno Beach, Palm Beach County",26.8797819,-80.0533743,locatie
223,USA,Florida,"Ocean Reef Park, Singer Island, Palm Beach County",27.7567667,-81.4639835,countryarea
224,AUSTRALIA,South Australia,Normanville,49.6948768,0.5941406,locatie
225,NEW ZEALAND,North Island,"Off Tapuna Beach, Auckand",-38.00353045,175.95785260835657,countryarea
226,USA,Florida,"Lantana Beach, Palm Beach County",26.5865308,-80.052166,locatie
227,USA,Hawaii,"Davidsons Beach, Kekaha, Kauai",19.593801499999998,-155.42837009716908,countryarea
228,USA,Hawaii,"Kama‘ole Beach Park, Maui",19.593801499999998,-155.42837009716908,countryarea
229,SOUTH AFRICA,Western Cape Province,Dyer Island,44.49765965,-67.80864630668714,locatie
230,USA,Florida,"Hanna Park, Jacksonville, Duval County",30.37095535,-81.40284284733937,locatie
231,USA,Rhode Island,"Moonstone Beach, South Kingstown, Washington County",41.3839,-71.57235,locatie
232,AUSTRALIA,Western Australia,Gracetown,-33.8646786,114.9881592,locatie
233,USA,New York,Rockaway,40.9012101,-74.5143232,locatie
234,USA,Florida,Fort Worth,32.753177,-97.3327459,locatie
235,USA,Florida,Palm Beach County,26.6279798,-80.4494174,locatie
236,SPAIN,Canary Islands,Gran Canaria,27.9580004,-15.6062305376665,locatie
237,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,locatie
238,SOUTH AFRICA,Western Cape Province,Hawston,-34.388611,19.131667,locatie
239,SAMOA,Upolu Island,Nofoali’i,error,error,error
240,AUSTRALIA,Westerm Australia,Esperance,-33.858228,121.8931606,locatie
241,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,locatie
242,AUSTRALIA,Westerm Australia,Sam's Creek area,error,error,error
243,AUSTRALIA,New South Wales,Iluka Beach,-29.4095634,153.36534589120652,locatie
244,SOLOMON ISLANDS,,Owarigi Island,error,error,error
245,SOUTH AFRICA,Western Cape Province,Dyer Island,44.49765965,-67.80864630668714,locatie
246,JAPAN,Shizuoka Prefecture,Iwata City,-37.9141187,144.6529936,locatie
247,USA,Florida,"Marathon, Monroe County",24.7137524,-81.0903512,locatie
248,USA,Texas,"South Padre Island, Cameron County",26.1036887,-97.1646938,locatie
249,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
250,AUSTRALIA,Victoria,Cathedral Rock,-36.5823592,175.7763078148798,locatie
251,USA,Florida,Bathtub Beach,27.18615595,-80.16056539830998,locatie
252,SPAIN,Castellón,Grao de Moncofa,39.80226385,-0.12826276942679987,locatie
253,NEW ZEALAND,North Island,Off Tutukaka,-38.00353045,175.95785260835657,countryarea
254,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",41.8910565,-69.9614174,locatie
255,BAHAMAS,,,alleen land bekend,alleen land bekend,error
256,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",32.127922299999994,-80.79150366959024,locatie
257,EGYPT,Red Sea Protectorate,Marsa Ghalib,25.5685088,34.63782434339299,locatie
258,USA,Massachusetts,"Menauhant Beach, Falmouth,
 Barnstable County",41.5497635,-70.5551593,locatie
259,USA,California,"Between Pescadero Point & Bean Hollow Beach, San Mateo County",36.7014631,-118.755997,countryarea
260,USA,Florida,"Jacksonvlle, Duval County",27.7567667,-81.4639835,countryarea
261,USA,South Carolina,"Hilton Head Island, Beaufort County",32.1618488,-80.7512616,locatie
262,USA,South Carolina,"DeBordieu Colony, Georgetown County",33.3690565,-79.1517111,locatie
263,BAHAMAS,New Providence District,Rose Island,25.105065850000003,-77.15528898454684,locatie
264,BAHAMAS,40 miles off Grand Bahama Island,,error,error,error
265,"ST HELENA, British overseas territory",Ascension Island,English Bay,59.3547222,-151.9311111,locatie
266,USA,New Jersey,Ventnor,50.594976,-1.2029747,locatie
267,SPAIN,Majorca,"Estanys Beach, Colonia de Sant",39.613432,2.880353635614984,countryarea
268,USA,Florida,"Snipes Point, Monroe County",27.7567667,-81.4639835,countryarea
269,USA,South Carolina,"Hilton Head Island, Beaufort County",32.1618488,-80.7512616,locatie
270,USA,California,"Stearns Wharf, Santa Barbara",34.4099523,-119.68578867181043,locatie
271,USA,California,"Seal Rock, Goleta Beach, Santa Barbara",36.7014631,-118.755997,countryarea
272,USA,Washington,"South Beach, Westport, Grays Harbor County",46.8891878,-124.1051705581013,locatie
273,AUSTRALIA,Western Australia,Floreat Beach,-31.9310469,115.7548327,locatie
274,USA,California,"Santa Cruz, Santa Cruz County",36.9743626,-122.0294673,locatie
275,USA,Florida,"Haulover Beach, Miami-Dade County",25.907562499999997,-80.12140990445131,locatie
276,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",18.2954949,-93.8613362,locatie
277,SOUTH AFRICA,Eastern Cape Province,"Nahoon Reef, East London",-32.994123,27.946558,locatie
278,COMOROS,Anjouan,Moya,39.9479049,-1.366237,locatie
279,USA,South Carolina,Wrightsville Beach,34.2079917,-77.7955907,locatie
280,USA,South Carolina,"South Forest Beach, Hilton Head Island, Beaufort County",32.1341694,-80.7711149,locatie
281,USA,Florida,"Singer Island, Palm Beach County",26.7850625,-80.0375408,locatie
282,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",32.1933234,-80.69492145170693,locatie
283,REUNION,,Roches Noire,45.357683,5.9086323,locatie
284,SPAIN,Ibiza Island,Playa d’en Bossa,38.8845544,1.4064686158480233,locatie
285,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",-9.73116465,-138.9787470714598,countryarea
286,BAHAMAS,,,alleen land bekend,alleen land bekend,error
287,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",-25.2303005,121.0187246,countryarea
288,AUSTRALIA,Victoria,"Flinders, Mornington Penisula",-36.5986096,144.6780052,countryarea
289,USA,Florida,"Ponce Inlet, Volusia County",29.0963729,-80.9369983,locatie
290,UNITED KINGDOM,South Devon,Bantham Beach,50.2803847,-3.882804982969838,locatie
291,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",27.7567667,-81.4639835,countryarea
292,BAHAMAS,New Providence,Athol Island,25.0754506,-77.2666571558642,locatie
293,USA,South Carolina,"Awendaw, Charleston County",33.0376703,-79.613127,locatie
294,USA,Florida,Off Jupiter,27.7567667,-81.4639835,countryarea
295,AUSTRALIA,New South Wales,Evans Head,-29.1174093,153.4312097,locatie
296,UNITED ARAB EMIRATES,"Sharjah,",Khor Fakkan,25.3491721,56.3478105,locatie
297,AUSTRALIA,Queensland,Weipa,-12.6386641,141.8710861,locatie
298,MEXICO,Baja California Sur,"Los Arbolitos, Cabo Pulmo",25.5818014,-111.5706164,countryarea
299,USA,California,"Sunset Beach, Orange County",33.7179231,-118.0706056,locatie
300,USA,California,"San Onofre, San Diego County",33.3803575,-117.5736037,locatie
301,SOUTH AFRICA,Western Cape Province,"Keurbooms, Plettenberg Bay",-34.037164849999996,23.38431260911068,locatie
302,USA,South Carolina,"Folly Beach, Charleston County",32.6549967,-79.9406093,locatie
303,REUNION,Saint-Leu,Pointe au Sal,-21.1677694,55.2881932,countryarea
304,NEW ZEALAND,South Island,"Porpoise Bay, Catlins",-43.586562,171.21232939964904,countryarea
305,USA,Florida,,27.7567667,-81.4639835,area
306,"ST HELENA, British overseas territory",Ascension Island,English Bay,59.3547222,-151.9311111,locatie
307,USA,South Carolina,Georgetown County,33.4392245,-79.3343041,locatie
308,USA,Florida,"Daytona Beach, Volusia County",29.2108147,-81.0228331,locatie
309,AUSTRALIA,Western Australia,Kelpies near Wylie Bay,-25.2303005,121.0187246,countryarea
310,USA,Hawaii,"Kekaha Beach, Kauai",19.593801499999998,-155.42837009716908,countryarea
311,USA,Florida,"Hanna Park, Jacksonville, Duval County",30.37095535,-81.40284284733937,locatie
312,USA,Florida,St. Augustine,29.8946952,-81.3145395,locatie
313,SOUTH AFRICA,KwaZulu-Natal,Protea Banks,53.8695714,27.6270033,locatie
314,USA,Florida,"Ormond Beach, Volusia County",29.2854132,-81.0557921,locatie
315,USA,Florida,"Melbourne Beach, Brevard County",28.0683496,-80.5603303,locatie
316,USA,Florida,"Melbourne Beach, Brevard County",28.0683496,-80.5603303,locatie
317,USA,Florida,"Daytona, Volusia County",29.2108147,-81.0228331,locatie
318,USA,Florida,"New Smyrna Beach, Volusia County",29.0258132,-80.9271271,locatie
319,AUSTRALIA,Queensland,Moreton Bay,-27.2397819,153.2539994,locatie
320,USA,Florida,"Destin, Okaloosa County",30.3935337,-86.4957834,locatie
